name,year_founded,industry,locality,country,current_employee_estimate
ibm,1911,information technology and services,"new york, new york, united states",united states,274047
tata consultancy services,1968,information technology and services,"bombay, maharashtra, india",india,190771
accenture,1989,information technology and services,"dublin, dublin, ireland",ireland,190689
us army,1800,military,"alexandria, virginia, united states",united states,162163
ey,1989,accounting,"london, greater london, united kingdom",united kingdom,158363
hewlett-packard,1939,information technology and services,"palo alto, california, united states",united states,127952
cognizant technology solutions,1994,information technology and services,"teaneck, new jersey, united states",united states,122031
walmart,1962,retail,"withee, wisconsin, united states",united states,120753
microsoft,1975,computer software,"redmond, washington, united states",united states,116196
at&t,1876,telecommunications,"dallas, texas, united states",united states,115188
united states air force,1947,defense & space,"randolph, texas, united states",united states,113997
pwc,1998,accounting,"new york, new york, united states",united states,111372
wells fargo,,financial services,"san francisco, california, united states",united states,109532
infosys,1981,information technology and services,"bangalore, karnataka, india",india,104752
deloitte,1900,management consulting,"new york, new york, united states",united states,104112
citi,1812,financial services,"new york, new york, united states",united states,101482
bank of america,1968,banking,"charlotte, north carolina, united states",united states,97357
jpmorgan chase & co.,1823,financial services,"new york, new york, united states",united states,95234
us navy,,military,"washington, district of columbia, united states",united states,94458
amazon,1994,internet,"seattle, washington, united states",united states,93247
apple,1976,consumer electronics,"cupertino, california, united states",united states,90095
siemens,1847,electrical/electronic manufacturing,"munich, bavaria, germany",germany,87381
oracle,1977,information technology and services,"redwood shores, california, united states",united states,85090
nokia,1865,telecommunications,"espoo, uusimaa, finland",finland,84327
education nationale,,public policy,"paris, île-de-france, france",france,84218
capgemini,1967,information technology and services,"france, aquitaine, france",france,84179
wipro technologies,1945,information technology and services,"bangalore, karnataka, india",india,78261
hsbc,1865,financial services,"london, greater london, united kingdom",united kingdom,75640
google,1998,internet,"mountain view, california, united states",united states,75109
united states postal service,,government administration,"washington, district of columbia, united states",united states,74357
mcdonald's corporation,1955,restaurants,"oak brook, illinois, united states",united states,68233
ericsson,,information technology and services,"kista, stockholm, sweden",sweden,67692
nhs,1948,hospital & health care,,,67564
boeing,1916,aviation & aerospace,"chicago, illinois, united states",united states,67261
vodafone,1982,telecommunications,"berks, west berkshire, united kingdom",united kingdom,66632
kaiser permanente,1945,hospital & health care,"oakland, california, united states",united states,65839
ford motor company,1903,automotive,"dearborn, michigan, united states",united states,65335
intel corporation,1968,semiconductors,"santa clara, california, united states",united states,64046
department of veterans affairs,1930,government administration,"washington, district of columbia, united states",united states,62685
cisco,1984,computer networking,"san jose, california, united states",united states,61803
general motors,,automotive,"detroit, michigan, united states",united states,61638
pepsico,1965,food & beverages,"purchase, new york, united states",united states,61040
target,1962,retail,"minneapolis, minnesota, united states",united states,60602
shell,1833,oil & energy,"the hague, zuid-holland, netherlands",netherlands,60324
hcl technologies,1991,information technology and services,"noida, uttar pradesh, india",india,59993
ups,1907,transportation/trucking/railroad,"atlanta, georgia, united states",united states,59712
pfizer,1848,pharmaceuticals,"new york, new york, united states",united states,59588
unilever,1872,consumer goods,"london, greater london, united kingdom",united kingdom,58819
nestlé,1866,food & beverages,"vevey, vaud, switzerland",switzerland,58538
unitedhealth group,1980,hospital & health care,"minneapolis, minnesota, united states",united states,57720
huawei technologies,1987,telecommunications,"shenzhen, guangdong, china",china,57255
dell,1984,information technology and services,"round rock, texas, united states",united states,55945
gsk,1830,pharmaceuticals,"hayes, hillingdon, united kingdom",united kingdom,54117
honeywell,1985,electrical/electronic manufacturing,"morristown, new jersey, united states",united states,51721
sap,1972,computer software,,,51441
schlumberger,1926,oil & energy,"houston, texas, united states",united states,50715
lockheed martin,1912,defense & space,"bethesda, maryland, united states",united states,50303
"ayatama energi, trisco nusantara",1999,design,,,48806
abb,,electrical/electronic manufacturing,"zurich, zurich, switzerland",switzerland,47434
american center of krasnodar,,education management,,,47345
starbucks,1971,retail,"seattle, washington, united states",united states,46523
promobroker agente de seguros y de fianzas s a de c v,,insurance,,,44926
morgan stanley,1935,financial services,"new york, new york, united states",united states,44799
the home depot,1977,retail,"atlanta, georgia, united states",united states,44630
independiente,,photography,,,44148
novartis,1996,pharmaceuticals,"basel, basel-city, switzerland",switzerland,44054
johnson & johnson,1887,hospital & health care,"new brunswick, new jersey, united states",united states,43985
bp,1909,oil & energy,"london, greater london, united kingdom",united kingdom,43657
schneider electric,1836,electrical/electronic manufacturing,"erlanger, kentucky, united states",united states,43240
state farm,1922,insurance,"bloomington, illinois, united states",united states,43096
secretaría de educación pública,,government administration,,,42795
dhl,1969,logistics and supply chain,"bonn, nordrhein-westfalen, germany",germany,42501
my home,,publishing,,,42341
td,1955,banking,"toronto, ontario, canada",canada,42136
ge,1892,electrical/electronic manufacturing,"fairfield, connecticut, united states",united states,42043
philips,1891,hospital & health care,"guildford, surrey, united kingdom",united kingdom,41732
ubs,1862,financial services,"zurich, zurich, switzerland",switzerland,41445
procter & gamble,1837,consumer goods,"cincinnati, ohio, united states",united states,40562
walgreens,1901,retail,"deerfield, illinois, united states",united states,40455
"keller williams realty, inc.",1983,real estate,"austin, texas, united states",united states,40325
"lowe's companies, inc.",1946,retail,"mooresville, north carolina, united states",united states,39741
verbum traducción y edición,,translation and localization,,,39679
united states marine corps,,military,"washington, district of columbia, united states",united states,38917
dell emc,1979,information technology and services,"hopkinton, massachusetts, united states",united states,38703
tech mahindra,1986,information technology and services,"pune, maharashtra, india",india,38631
verizon wireless,2000,telecommunications,"basking ridge, new jersey, united states",united states,38627
sanofi,,pharmaceuticals,"paris, île-de-france, france",france,38533
bnp paribas,1848,banking,"paris, île-de-france, france",france,37835
sodexo,1966,facilities services,,,37611
deutsche bank,1870,investment banking,"frankfurt, hessen, germany",germany,37595
tencent,1998,internet,"shenzhen, guangdong, china",china,37574
j.p. morgan,,financial services,"new york, new york, united states",united states,37431
verizon,1983,information technology and services,"basking ridge, new jersey, united states",united states,37368
l'oréal,,cosmetics,"paris, île-de-france, france",france,37319
kpmg,1987,accounting,"montvale, new jersey, united states",united states,36853
orange,1988,telecommunications,"paris, île-de-france, france",france,36340
linkedin,2003,internet,"mountain view, california, united states",united states,36309
barclays,,financial services,"london, greater london, united kingdom",united kingdom,36200
facebook,2004,internet,"menlo park, california, united states",united states,36149
northrop grumman corporation,1939,defense & space,"falls church, virginia, united states",united states,35965
fca fiat chrysler automobiles,1925,automotive,"turin, turin, italy",united kingdom,35891
adp,1949,human resources,"roseland, new jersey, united states",united states,35686
medtronic,1949,medical devices,"minneapolis, minnesota, united states",united states,35664
abbott,1980,hospital & health care,"illinois city, illinois, united states",united states,35603
chevron,1879,oil & energy,"san ramon, california, united states",united states,34995
roche,1896,biotechnology,"basel, basel-city, switzerland",switzerland,34844
american express,1850,financial services,"new york, new york, united states",united states,34816
samsung electronics,1938,electrical/electronic manufacturing,"none, south carolina, united states",united states,34021
macy's,1858,retail,"cincinnati, ohio, united states",united states,33795
thomson reuters,2008,information technology and services,"new york, new york, united states",united states,33745
ministerio de educación,,education management,,,33679
avon,1886,cosmetics,"new york, new york, united states",united states,33670
cgi,1976,information technology and services,"montréal, quebec, canada",canada,33615
cvs health,1963,pharmaceuticals,"woonsocket, rhode island, united states",united states,33408
halliburton,1919,oil & energy,"houston, texas, united states",united states,33250
atos,1997,information technology and services,"bezons, ile-de-france, france",france,32927
pcs informatica,,information technology and services,,,32673
ge healthcare,1892,hospital & health care,"buckingham, buckinghamshire, united kingdom",united kingdom,32636
csc,1959,information technology and services,"falls church, virginia, united states",united states,32601
merck,1891,pharmaceuticals,"kenilworth, new jersey, united states",united states,32210
kpmg,,financial services,"new york, new york, united states",united states,32208
banco santander,1857,banking,"boadilla del monte, madrid, spain",spain,32008
scotiabank,1832,banking,"toronto, ontario, canada",canada,31726
dxc technology,2017,information technology and services,,united states,31671
johnson controls,1885,mechanical or industrial engineering,"milwaukee, wisconsin, united states",united states,31630
posteamos.com,2012,broadcast media,,,31626
allstate,1931,insurance,"northbrook, illinois, united states",united states,31490
petrobras,1953,oil & energy,"rio de janeiro, rio de janeiro, brazil",brazil,31454
credit suisse,1856,banking,"zurich, zurich, switzerland",switzerland,31429
telefónica,1924,telecommunications,"madrid, madrid, spain",spain,31175
marriott international,1927,hospitality,"bethesda, maryland, united states",united states,31146
axa,,insurance,"paris, île-de-france, france",france,31068
3m health care,1902,mechanical or industrial engineering,"saint paul, minnesota, united states",united states,30937
standard chartered bank,,banking,"london, greater london, united kingdom",united kingdom,30830
xerox,1906,information technology and services,"norwalk, connecticut, united states",united states,30765
cbre,,real estate,"los angeles, california, united states",united states,30665
nyc department of education,,education management,"new york, new york, united states",united states,30526
goldman sachs,1869,investment banking,"new york, new york, united states",united states,30470
fidelity investments,1946,financial services,"boston, massachusetts, united states",united states,30346
icici bank,1994,banking,"bombay, maharashtra, india",india,30286
exxonmobil,1999,oil & energy,"irving, texas, united states",united states,30131
t-mobile,2002,telecommunications,"bellevue, washington, united states",united states,30100
aon,1987,financial services,"london, greater london, united kingdom",united kingdom,30079
royal bank of scotland,,banking,"edinburgh, edinburgh, united kingdom",united kingdom,29942
astrazeneca,1999,pharmaceuticals,"london, greater london, united kingdom",united kingdom,29930
nike,1972,sporting goods,"beaverton, oregon, united states",united states,29731
basf,1865,chemicals,"ludwigshafen, rheinland-pfalz, germany",germany,29673
hdfc bank,1994,banking,,,29653
best buy,1966,retail,"richfield, minnesota, united states",united states,29568
american airlines,1930,airlines/aviation,"fort worth, texas, united states",united states,29498
baker hughes,,oil & energy,"houston, texas, united states",united states,29481
the coca-cola company,1892,food & beverages,"atlanta, georgia, united states",united states,29278
genpact,1997,information technology and services,"new york, new york, united states",united states,29262
jll,,commercial real estate,"chicago, illinois, united states",united states,29101
rbc,1864,banking,"toronto, ontario, canada",canada,28889
u.s. bank,,banking,"minneapolis, minnesota, united states",united states,28763
larsen & toubro,,construction,"bombay, maharashtra, india",india,28206
continental,1871,automotive,"od, bayern, germany",germany,28156
pnc,2014,financial services,"pittsburgh, pennsylvania, united states",united states,28132
sprint,1899,telecommunications,"overland park, kansas, united states",united states,28008
saudi aramco,1933,oil & energy,"dhahran, eastern province, saudi arabia",saudi arabia,27631
g4s,1901,security and investigations,"crawley, west sussex, united kingdom",united kingdom,27599
airbus,2014,aviation & aerospace,"arlington, virginia, united states",united states,27548
capital one,1994,financial services,"mclean, virginia, united states",united states,27522
delta air lines,1928,airlines/aviation,"atlanta, georgia, united states",united states,27331
carrefour,,supermarkets,"boulogne-billancourt, ile-de-france, france",france,27313
ninguna,,"health, wellness and fitness",,,27288
merrill lynch,1914,financial services,"new york, new york, united states",united states,27206
mondelēz international,1903,food production,"deerfield, illinois, united states",united states,27152
bt,1981,telecommunications,"london, greater london, united kingdom",united kingdom,26894
h&m,1947,retail,"stockholm, stockholms lan, sweden",sweden,26331
anz,1835,banking,"melbourne, victoria, australia",australia,26156
farmers insurance,1928,insurance,"los angeles, california, united states",united states,26029
aecom,1990,civil engineering,"los angeles, california, united states",united states,26008
united states department of defense,1947,military,"washington, district of columbia, united states",united states,26000
metlife,1868,insurance,"new york, new york, united states",united states,25967
total,1924,oil & energy,"san diego, california, united states",united states,25780
ikea group,,retail,"malmö, skåne, sweden",sweden,25734
cargill,1865,food production,"wayzata, minnesota, united states",united states,25321
bae systems,1999,defense & space,"london, greater london, united kingdom",united kingdom,25166
united airlines,1926,airlines/aviation,"chicago, illinois, united states",united states,24967
lavoratore indipendente,,medical practice,,,24759
mary kay inc.,1963,cosmetics,"addison, texas, united states",united states,24699
liberty mutual insurance,1912,insurance,"boston, massachusetts, united states",united states,24623
comcast,1963,media production,"philadelphia, pennsylvania, united states",united states,24515
caterpillar inc.,1925,machinery,"peoria heights, illinois, united states",united states,24304
jacobs,1947,construction,"pasadena, california, united states",united states,24241
bny mellon,,financial services,"new york, new york, united states",united states,24183
raytheon,1922,defense & space,"waltham, massachusetts, united states",united states,23733
société générale,1864,banking,"paris, île-de-france, france",france,23484
eli lilly and company,1876,pharmaceuticals,"indianapolis, indiana, united states",united states,23297
hp,,information technology and services,"palo alto, california, united states",united states,23294
eskom,1923,utilities,,,23290
school,,textiles,,,22985
uber,2009,internet,"san francisco, california, united states",united states,22415
lloyds banking group,,financial services,"london, greater london, united kingdom",united kingdom,22316
kroger,1883,retail,"cincinnati, ohio, united states",united states,22257
thermo fisher scientific,1956,research,"waltham, massachusetts, united states",united states,22025
renault,,automotive,,,21826
nhs trust,,hospital & health care,,,21826
willis towers watson,1828,financial services,"london, england, united kingdom",united kingdom,21813
hospital universitario josep trueta,,"health, wellness and fitness",,,21796
aig,1919,insurance,"new york, new york, united states",united states,21673
state bank of india,1806,banking,"bombay, maharashtra, india",india,21645
fedex express,1973,package/freight delivery,,,21642
novo nordisk,1923,pharmaceuticals,"plainsboro, new jersey, united states",united states,21638
mynet,1999,internet,"maslak, istanbul, turkey",turkey,21612
vale,1942,mining & metals,"rio de janeiro, rio de janeiro, brazil",brazil,21569
itaú unibanco,1945,banking,"sao paulo, sao paulo, brazil",brazil,21539
h&r block,1955,retail,"kansas city, missouri, united states",united states,21410
sncf,1938,transportation/trucking/railroad,"saint-denis-de-palin, centre, france",france,21359
social security administration,1935,government administration,"baltimore, maryland, united states",united states,21150
"bright futures, a college and career management company",,mental health care,,,21041
costco wholesale,1983,retail,"issaquah, washington, united states",united states,21030
thales,2015,defense & space,"alexandria, virginia, united states",united states,20983
convergys,1998,outsourcing/offshoring,"cincinnati, ohio, united states",united states,20979
ministry of education,,design,,,20964
tesco plc,1919,retail,"hertfordshire, hertfordshire, united kingdom",united kingdom,20960
iqvia,2016,hospital & health care,"danbury, connecticut, united states",united states,20957
salesforce,1999,internet,"san francisco, california, united states",united states,20885
edf,1946,oil & energy,"france, aquitaine, france",france,20848
prefeitura municipal,,information technology and services,,,20779
the dow chemical company,1897,chemicals,"midland, michigan, united states",united states,20706
forza silicon,,human resources,,,20596
hilton worldwide,1919,hospitality,"mclean, virginia, united states",united states,20578
los angeles unified school district,1853,education management,"los angeles, california, united states",united states,20404
army national guard,,military,"arlington, virginia, united states",united states,20390
nordstrom,1901,retail,"seattle, washington, united states",united states,20376
lifespan,1994,hospital & health care,"providence, rhode island, united states",united states,20341
fedex,1973,package/freight delivery,"memphis, tennessee, united states",united states,20317
edward jones,1922,financial services,"st. louis, missouri, united states",united states,20238
particular,,computer software,,,20231
travelers,1853,insurance,"new york, new york, united states",united states,20065
fresher,,education management,,,20056
boehringer ingelheim,1885,pharmaceuticals,"ingelheim, rheinland-pfalz, germany",germany,19989
state street,,financial services,"boston, massachusetts, united states",united states,19917
private,2010,professional training & coaching,"prague, praha, czechia",czechia,19894
the walt disney company,1923,entertainment,"burbank, california, united states",united states,19839
nielsen,,information services,"new york, new york, united states",united states,19719
emirates,1985,airlines/aviation,"dubai, dubai, united arab emirates",united arab emirates,19657
lg electronics,1947,consumer electronics,"seoul, seoul-t'ukpyolsi, south korea",south korea,19552
bombardier,1967,aviation & aerospace,"montréal, quebec, canada",canada,19515
herbalife,1980,"health, wellness and fitness","los angeles, california, united states",united states,19473
northwestern mutual,1857,financial services,"milwaukee, wisconsin, united states",united states,19406
valeo,1923,automotive,"paris, île-de-france, france",france,19383
eaton,1911,electrical/electronic manufacturing,"cleveland, ohio, united states",united states,19358
aflac,1955,insurance,"columbus, georgia, united states",united states,19357
united nations,1945,international affairs,"new york, new york, united states",united states,19263
flextronics,,electrical/electronic manufacturing,,singapore,19039
standard bank group,1862,financial services,"johannesburg, gauteng, south africa",south africa,18967
subway,1965,restaurants,,,18960
mayo clinic,,hospital & health care,"rochester, minnesota, united states",united states,18846
booz allen hamilton,1914,management consulting,"mclean, virginia, united states",united states,18838
allianz,1890,financial services,"munich, bavaria, germany",germany,18824
telstra,1901,telecommunications,,australia,18773
qualcomm,1985,wireless,"san diego, california, united states",united states,18614
john deere,1837,machinery,"moline, illinois, united states",united states,18546
aetna,1853,insurance,"hartford, connecticut, united states",united states,18519
enterprise rent-a-car,1957,automotive,"hillsborough, new hampshire, united states",united states,18509
bristol-myers squibb,1887,pharmaceuticals,"new york, new york, united states",united states,18504
alberta health services,2008,hospital & health care,"edmonton, alberta, canada",canada,18502
us department of homeland security,2003,government administration,"washington, district of columbia, united states",united states,18497
commonwealth bank,1911,financial services,"sydney, new south wales, australia",australia,18480
new york life insurance company,1845,financial services,"new york, new york, united states",united states,18438
siemens healthcare,,hospital & health care,"erlangen, bayern, germany",germany,18436
cibc,1867,banking,"toronto, ontario, canada",canada,18410
reliance,1966,oil & energy,"bombay, maharashtra, india",india,17020
jcpenney,1902,retail,"plano, texas, united states",united states,16930
imss,2002,hospital & health care,"mexico, distrito federal, mexico",mexico,16922
bradesco,1943,banking,"osasco, sao paulo, brazil",brazil,16917
boston scientific,1979,medical devices,"marlborough, massachusetts, united states",united states,16903
stay at home mom,,law practice,,,16823
lenovo,2005,computer hardware,"morrisville, north carolina, united states",united states,16797
nationwide insurance,,insurance,,,16794
nissan motor corporation,1933,automotive,"yokohama, kanagawa, japan",japan,16756
amazon web services,2006,information technology and services,"seattle, washington, united states",united states,16751
philip morris international,2008,tobacco,"new york, new york, united states",united states,16683
alstom,1928,railroad manufacture,"washington, pennsylvania, united states",united states,16661
cummins inc.,1919,automotive,"columbus, indiana, united states",united states,16625
centurylink,1930,telecommunications,"monroe, louisiana, united states",united states,16598
psa peugeot citroën,1976,automotive,"paris, île-de-france, france",france,16563
european commission,1958,government administration,"brussels, brussels hoofdstedelijk gewest, belgium",belgium,16546
amgen,1980,biotechnology,"thousand oaks, california, united states",united states,16533
abn amro bank n.v.,1817,banking,"amsterdam, noord-holland, netherlands",netherlands,16510
cvs pharmacy,1963,pharmaceuticals,"woonsocket, rhode island, united states",united states,16445
trw,1915,automotive,,,16444
ncr corporation,1884,information technology and services,"duluth, georgia, united states",united states,16404
akzonobel,1994,chemicals,"amsterdam, noord-holland, netherlands",netherlands,16375
amdocs,1982,telecommunications,"chesterfield, missouri, united states",united states,16108
abbvie,2013,pharmaceuticals,"north chicago, illinois, united states",united states,16096
arcelormittal,2006,mining & metals,"none, south carolina, united states",united states,16090
free lance,,internet,,,15992
jaguar land rover,1922,automotive,"sandwell, sandwell, united kingdom",united kingdom,15929
autônoma,,human resources,,,15911
sgs,1878,international trade and development,"geneva, geneva, switzerland",switzerland,15907
wipro infotech,1945,information technology and services,"bangalore, karnataka, india",india,15834
aramark,1939,retail,"philadelphia, pennsylvania, united states",united states,15833
"ministero istruzione, universita' e ricerca",,government administration,,,15829
samsung,1969,consumer electronics,"new york, new york, united states",united states,15818
kuehne + nagel,1890,logistics and supply chain,"schindellegi, schwyz, switzerland",switzerland,15815
cerner corporation,1979,information technology and services,"kansas city, missouri, united states",united states,15781
mckinsey & company,,management consulting,,,15771
kimberly-clark,1872,consumer goods,"seminole, texas, united states",united states,15758
caixa economica federal,1861,banking,"brasília, federal district, brazil",brazil,15754
"biocolloids fate and transport in environmental systems, network biomet",,retail,,,15733
agilent technologies,1999,biotechnology,"santa clara, california, united states",united states,15704
upwork,2015,internet,"mountain view, california, united states",united states,15693
whole foods market,1980,supermarkets,"austin, texas, united states",united states,15674
comcast cable,1963,telecommunications,"philadelphia, pennsylvania, united states",united states,15667
indra,1993,information technology and services,"alcobendas, madrid, spain",spain,15623
southwest airlines,1971,airlines/aviation,"dallas, texas, united states",united states,15614
mid managing international diffusion,2013,management consulting,,,15565
stryker,1941,medical devices,"kalamazoo, michigan, united states",united states,15560
international mission of mercy (imm),1991,public relations and communications,"morristown, new jersey, united states",united states,15560
british american tobacco,1902,tobacco,"london, greater london, united kingdom",united kingdom,15511
nordea,,banking,"ase, vasternorrlands lan, sweden",sweden,15508
bank of america merrill lynch,,financial services,"charlotte, north carolina, united states",united states,15449
publix super markets,1930,retail,"lakeland, florida, united states",united states,15397
own businees,,food production,,,15362
youtube,2005,internet,"san bruno, california, united states",united states,15319
u.s. department of state,,international affairs,"washington, district of columbia, united states",united states,15219
"""cecaci""  centro de capacitacion comercial e industrial",,professional training & coaching,,,15215
mars,1911,food production,"mclean, virginia, united states",united states,15197
lic,1956,insurance,,,15193
sabic,1976,chemicals,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,15190
bsnl,,telecommunications,,,15125
danone,1919,food production,"paris, île-de-france, france",france,15123
usaa,1922,financial services,"san antonio, texas, united states",united states,15109
chicago public schools,1837,education management,"chicago, illinois, united states",united states,15079
le groupe la poste,,logistics and supply chain,"paris, île-de-france, france",france,15030
bmo financial group,1817,financial services,"toronto, ontario, canada",canada,14998
fresenius medical care,1996,hospital & health care,"waltham, massachusetts, united states",united states,14994
cushman & wakefield,1917,commercial real estate,"chicago, illinois, united states",united states,14982
ing,1991,banking,"amsterdam, north holland, netherlands",netherlands,14973
rolls-royce,1884,aviation & aerospace,"london, greater london, united kingdom",united kingdom,14942
cigna,1982,"health, wellness and fitness","bloomfield, connecticut, united states",united states,14932
ymca,1844,non-profit organization management,"chicago, illinois, united states",united states,14924
prudential financial,1875,financial services,"newark, new jersey, united states",united states,14889
saipem,1957,oil & energy,"san donato milanese, milan, italy",italy,14858
bosch,1886,mechanical or industrial engineering,"garfield, new jersey, united states",united states,14807
rodan + fields,2002,consumer goods,"san francisco, california, united states",united states,14799
rr donnelley,1864,printing,"chicago, illinois, united states",united states,14761
vmware,1998,computer software,"palo alto, california, united states",united states,14733
university of washington,,higher education,,,14684
penn state university,1855,higher education,"university park, pennsylvania, united states",united states,14681
texas instruments,1930,semiconductors,"dallas, texas, united states",united states,14643
michelin,1889,automotive,"ferrand, corrèze, france",france,14606
baxter international inc.,1931,medical devices,"deerfield, illinois, united states",united states,14603
sakri it solutions pvt ltd,,information technology and services,,,14557
rabobank,,banking,"utrecht, utrecht, netherlands",netherlands,14542
cardinal health,1971,hospital & health care,"dublin, ohio, united states",united states,14534
amway,1959,consumer goods,"ada, michigan, united states",united states,14503
adecco,1996,staffing and recruiting,"glattbrugg, zurich, switzerland",switzerland,14481
bb&t,1872,financial services,"winston salem, north carolina, united states",united states,14394
saic,2013,information technology and services,"mclean, virginia, united states",united states,14389
bureau veritas,1828,environmental services,"sunrise, florida, united states",united states,14375
faurecia,1997,automotive,"nanterre, ile-de-france, france",france,14371
sas,1976,computer software,"cary, north carolina, united states",united states,14362
indite technologies,,capital markets,,,14357
mahindra satyam,1986,information technology and services,"hyderabad, andhra pradesh, india",india,14357
coldwell banker,1906,real estate,"madison, new jersey, united states",united states,14342
orange business services,,information technology and services,"saint denis, paris, france",france,14336
monsanto company,2000,farming,"st. louis, missouri, united states",united states,14319
manpowergroup,1948,staffing and recruiting,"milwaukee, wisconsin, united states",united states,14319
american red cross,1881,non-profit organization management,"washington, district of columbia, united states",united states,14294
kelly services,1946,staffing and recruiting,"troy, michigan, united states",united states,14262
time warner cable,1989,telecommunications,"new york, new york, united states",united states,14223
nedbank,,financial services,"sandton, gauteng, south africa",south africa,14205
adobe,1982,computer software,"san jose, california, united states",united states,14176
university of florida,1853,higher education,"gainesville, florida, united states",united states,14171
bell,1880,telecommunications,"montréal, quebec, canada",canada,14108
ecolab,,chemicals,"st paul, kentucky, united states",united states,14106
bhp billiton,1851,mining & metals,"melbourne, victoria, australia",australia,14101
university of minnesota,1851,higher education,"st paul, kentucky, united states",united states,14092
absa,1991,financial services,"johannesburg, gauteng, south africa",south africa,14080
bbc,1922,broadcast media,"london, greater london, united kingdom",united kingdom,14038
government of maharashtra,,security and investigations,,,14029
"ameriprise financial services, inc.",1894,financial services,"de pere, wisconsin, united states",united states,13954
unicredit,2014,banking,"milano, lombardy, italy",italy,13933
mphasis,1998,information technology and services,"bangalore, karnataka, india",india,13912
randstad,1960,human resources,"noord, noord-brabant, netherlands",netherlands,13840
progressive insurance,1937,insurance,"bay village, ohio, united states",united states,13840
the ohio state university,1870,higher education,"columbus, ohio, united states",united states,13817
"anthem, inc.",,insurance,"indianapolis, indiana, united states",united states,13715
safeway,1915,food & beverages,"pleasanton, california, united states",united states,13700
teleperformance,1978,outsourcing/offshoring,"paris, île-de-france, france",france,13696
worleyparsons,1971,oil & energy,"north sydney, new south wales, australia",australia,13657
korea facilitators association,,professional training & coaching,,,13652
british airways,1919,airlines/aviation,"hayes, hillingdon, united kingdom",united kingdom,13648
national oilwell varco,1841,oil & energy,"seminole, texas, united states",united states,13484
aviva,2000,financial services,"london, greater london, united kingdom",united kingdom,13476
syngenta,2000,farming,"basel, basel-city, switzerland",switzerland,13440
magna international,1957,automotive,"aurora, ontario, canada",canada,13422
walt disney world,1971,entertainment,"lake buena vista, florida, united states",united states,13420
auchan,1961,retail,"lille, hauts-de-france, france",france,13415
staples,1986,business supplies and equipment,"framingham, massachusetts, united states",united states,13400
no-company,2009,information technology and services,,,13400
the salvation army,1865,non-profit organization management,"nassau, new york, united states",united states,13374
inditex,1974,retail,"arteixo, galicia, spain",spain,13366
barclays investment bank,,financial services,"new york, new york, united states",united states,13330
toyota,1937,automotive,"torrance, california, united states",japan,13320
sherwin williams,1866,chemicals,"cleveland, ohio, united states",united states,13284
arcadis,1888,civil engineering,"amsterdam, noord-holland, netherlands",netherlands,13253
motorola,1928,consumer electronics,"chicago, illinois, united states",united states,13241
chubb,1882,insurance,"zurich, zurich, switzerland",switzerland,13233
stanford university,,higher education,"stanford, california, united states",united states,13219
mercer,,human resources,"new york, new york, united states",united states,13195
airtel,1995,telecommunications,"gurgaon, haryana, india",india,13142
colegio,,primary/secondary education,,,13130
sony,1946,entertainment,"tokyo, tokyo, japan",japan,13109
genentech,1976,biotechnology,"south san francisco, california, united states",united states,13103
delphi,2009,automotive,"gillingham, medway, united kingdom",united kingdom,13031
serco,1988,outsourcing/offshoring,"hook, hampshire, united kingdom",united kingdom,13014
bd,1897,medical devices,"franklin lakes, new jersey, united states",united states,12994
leroy merlin,1998,retail,"france, aquitaine, france",france,12949
sct ltd co.,1998,electrical/electronic manufacturing,"peking, beijing, china",china,12947
air liquide,1902,utilities,"paris, île-de-france, france",france,12922
te connectivity,2007,electrical/electronic manufacturing,"berwyn, pennsylvania, united states",switzerland,12892
wood,1912,oil & energy,"aberdeen, aberdeen city, united kingdom",united kingdom,12891
promsvyaznedvizhimost,,legislative office,,,12853
duke energy corporation,1904,utilities,"charlotte, north carolina, united states",united states,12818
university of toronto,1827,higher education,"toronto, ontario, canada",canada,12787
teksystems,1983,information technology and services,"hanover, maryland, united states",united states,12751
insidesecure,1995,computer software,"meyreuil, provence-alpes-cote d'azur, france",france,12720
sun life financial,1865,financial services,,,12698
tata motors,1945,automotive,,,12687
century 21®,1971,real estate,"madison, new jersey, united states",united states,12678
adecco group,1996,staffing and recruiting,"glattbrugg, zurich, switzerland",switzerland,12671
colgate palmolive,1806,consumer goods,"new york, new york, united states",united states,12647
ge aviation,,airlines/aviation,"cincinnati, ohio, united states",united states,12642
no,,chemicals,,,12642
tesla,2003,automotive,"palo alto, california, united states",united states,12641
sena,1957,education management,"bogota, distrito especial, colombia",colombia,12629
queensland health,,hospital & health care,"brisbane, queensland, australia",australia,12583
air france,1933,airlines/aviation,"paris, île-de-france, france",france,12578
u.s. coast guard,1915,military,"washington, district of columbia, united states",united states,12574
the janssen pharmaceutical companies of johnson & johnson,,pharmaceuticals,"raritan, new jersey, united states",united states,12572
bayer healthcare,1863,pharmaceuticals,"berlin, berlin, germany",germany,12558
stmicroelectronics,1987,semiconductors,"chester, pennsylvania, united states",switzerland,12554
charter communications,1993,telecommunications,"stamford, connecticut, united states",united states,12535
re/max,1973,real estate,"denver, colorado, united states",united states,12526
jabil,1966,electrical/electronic manufacturing,"st. petersburg, florida, united states",united states,12518
us government,,government administration,"washington, district of columbia, united states",united states,12482
skanska,1887,construction,"ase, vasternorrlands lan, sweden",sweden,12469
leonardo,1948,defense & space,"rome, lazio, italy",italy,12458
