name,year_founded,industry,locality,country,current_employee_estimate
metso,1999,machinery,"helsinki, uusimaa, finland",finland,5443
virgin media,2007,telecommunications,"hook, hampshire, united kingdom",united kingdom,5442
turkcell,1994,telecommunications,"i̇stanbul, istanbul, turkey",turkey,5441
life time - the healthy way of life company,1992,"health, wellness and fitness","chanhassen, minnesota, united states",united states,5441
icon plc,1990,pharmaceuticals,"leopardstown, dublin, ireland",ireland,5440
levi strauss & co.,1853,apparel & fashion,"san francisco, california, united states",united states,5433
school district of hillsborough county,,primary/secondary education,,,5432
magneti marelli,1919,automotive,"corbetta, milan, italy",italy,5426
audi ag,1909,automotive,"ingolstadt, bavaria, germany",germany,5425
sag-aftra,2012,entertainment,"los angeles, california, united states",united states,5425
université de montréal,,higher education,"montréal, quebec, canada",canada,5420
dfx producciones,2007,design,"san justo, buenos aires, argentina",argentina,5418
trader joe's,1967,retail,"monrovia, california, united states",united states,5416
express employment professionals,1983,staffing and recruiting,"oklahoma city, oklahoma, united states",united states,5410
university at buffalo,1846,higher education,"buffalo, new york, united states",united states,5395
unisa,,higher education,"pretoria, gauteng, south africa",south africa,5391
american heart association | american stroke association,1924,"health, wellness and fitness","dallas, texas, united states",united states,5371
thomas cook,1841,"leisure, travel & tourism",,united kingdom,5366
scuola secondaria di primo grado,,primary/secondary education,,,5365
aib,,banking,"ballsbridge, dublin, ireland",ireland,5364
home office,,government administration,"london, greater london, united kingdom",united kingdom,5364
la banque postale,2006,banking,"paris, île-de-france, france",france,5362
ncc,1988,construction,"solna, stockholm, sweden",sweden,5362
norton rose fulbright,,law practice,,,5361
king saud university,1957,higher education,"riyadh, ar riyāḑ, saudi arabia",saudi arabia,5354
cn,1918,transportation/trucking/railroad,"montréal, quebec, canada",canada,5352
celgene,1986,biotechnology,"summit, new jersey, united states",united states,5348
holcim,1912,building materials,"zurich, zurich, switzerland",switzerland,5346
oceaneering,,oil & energy,"houston, texas, united states",united states,5344
university of tennessee,,higher education,,,5344
carmax,1993,retail,"richmond, virginia, united states",united states,5343
post office,2004,retail,"london, london, united kingdom",united kingdom,5340
"turner (turner broadcasting system, inc)",1970,broadcast media,"atlanta, georgia, united states",united states,5337
supervalu,1870,supermarkets,"eden prairie, minnesota, united states",united states,5337
westinghouse electric company,1886,oil & energy,"cranberry township, pennsylvania, united states",united states,5334
sedgwick,1969,insurance,"memphis, tennessee, united states",united states,5334
melaleuca:the wellness company,1985,"health, wellness and fitness","idaho falls, idaho, united states",united states,5331
fao,1945,international affairs,"rome, lazio, italy",italy,5325
agility,1979,logistics and supply chain,"baar, zug, switzerland",switzerland,5323
walgreens boots alliance,2014,pharmaceuticals,"deerfield, illinois, united states",united states,5322
qbe insurance,1886,insurance,,,5322
tivit,,information technology and services,,,5317
primary school,,internet,,,5312
unsw,1949,higher education,"sydney, new south wales, australia",australia,5312
hcl technologies (infrastructure services division),1993,information technology and services,"noida, uttar pradesh, india",india,5308
novant health,1997,hospital & health care,"charlotte, north carolina, united states",united states,5308
kent state university,1910,higher education,"kent, ohio, united states",united states,5302
petroleum development oman,1937,oil & energy,,oman,5293
state of tennessee,,government administration,,,5293
united rentals,1997,construction,"stamford, connecticut, united states",united states,5293
american electric power,1906,utilities,"columbus, ohio, united states",united states,5287
exercito brasileiro,,information technology and services,,,5285
wayne state university,1868,higher education,"detroit, michigan, united states",united states,5283
baltimore county public schools,,primary/secondary education,"towson, maryland, united states",united states,5279
phillips 66,2012,oil & energy,"houston, texas, united states",united states,5278
pt.pertamina (persero),1957,oil & energy,"jakarta, jakarta raya, indonesia",indonesia,5277
lululemon athletica,1998,retail,"vancouver, british columbia, canada",canada,5277
long & foster companies,1968,real estate,"chantilly, virginia, united states",united states,5275
law firm,,law practice,,,5274
clemson university,1889,higher education,"clemson, south carolina, united states",united states,5272
mindshare,1997,marketing and advertising,"london, greater london, united kingdom",united kingdom,5269
university of colorado boulder,,higher education,,,5266
axa en france,,insurance,,,5265
university of pretoria,1908,higher education,"pretoria, gauteng, south africa",south africa,5265
oklahoma state university,,higher education,"stillwater, oklahoma, united states",united states,5260
